agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 10, number of iterations: 50, neighbourhood radius: 10, total agent store: 600.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 60.0
agent(s)s: 5, number of iterations: 50, neighbourhood radius: 10, total agent store: 300.0
agent(s)s: 2, number of iterations: 50, neighbourhood radius: 10, total agent store: 120.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 60.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 60.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 60.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 60.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 60.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 60.0
agent(s)s: 2, number of iterations: 50, neighbourhood radius: 10, total agent store: 120.0
agent(s)s: 2, number of iterations: 50, neighbourhood radius: 10, total agent store: 120.0
agent(s)s: 2, number of iterations: 50, neighbourhood radius: 10, total agent store: 120.0
agent(s)s: 2, number of iterations: 50, neighbourhood radius: 10, total agent store: 120.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 80.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 0.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 100.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 50.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 80.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 40.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 20.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 100.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 100.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 20.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 70.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 70.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 60.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 10.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 10.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 100.0
agent(s)s: 1, number of iterations: 50, neighbourhood radius: 10, total agent store: 26.0
